Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,log_MRP,Establishment_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type
7.98,LF,0.014618973,Baking Goods,1.93056701,26,High,Tier 3,Supermarket Type1
17.6,Regular,0.076552407,Meat,2.043441662,6,Small,Tier 2,Supermarket Type1
7.79,Regular,0.038288087,Fruits and Vegetables,2.013664547,4,Medium,Tier 3,Supermarket Type2
12.6,LF,0.031867464,Household,2.004328254,28,Medium,Tier 3,Supermarket Type3
6.26,Regular,0.009866049,Meat,2.179369648,9,Small,Tier 2,Supermarket Type1
6.15,LF,0.04627095,Baking Goods,1.997117161,16,Small,Tier 1,Supermarket Type1
6.45,LF,0.029691762,Baking Goods,1.966815423,16,Small,Tier 1,Supermarket Type1
7.07,LF,0.093861144,Snack Foods,2.062895466,11,Small,Tier 2,Supermarket Type1
19,Regular,0.173154079,Fruits and Vegetables,2.358452644,15,Small,Tier 3,Grocery Store
12.6,LF,0.094697274,Baking Goods,2.199920748,28,Medium,Tier 3,Supermarket Type3
12.6,LF,0.2047,Frozen Foods,1.885739932,28,Small,Tier 1,Grocery Store
7.9,Regular,0.095102092,Breakfast,2.018838586,6,Small,Tier 2,Supermarket Type1
20.25,LF,0.026005891,Household,2.257672816,11,Small,Tier 2,Supermarket Type1
15.85,LF,0.107765165,Soft Drinks,1.775176301,14,Medium,Tier 1,Supermarket Type1
6.17,LF,0.010647477,Meat,1.822054258,14,Medium,Tier 1,Supermarket Type1
19.2,LF,0.077628053,Household,2.295811116,14,Medium,Tier 1,Supermarket Type1
14.5,Regular,0.063993068,Breads,2.415740036,11,Small,Tier 2,Supermarket Type1
11.6,Regular,0.078929571,Frozen Foods,1.902696773,16,Small,Tier 1,Supermarket Type1
8.05,Regular,0.07838564,Fruits and Vegetables,2.409027428,9,Small,Tier 2,Supermarket Type1
16.5,LF,0.036715907,Household,2.255349224,11,Small,Tier 2,Supermarket Type1
12.6,Regular,0.014753811,Fruits and Vegetables,2.365105563,28,Medium,Tier 3,Supermarket Type3
6.64,Regular,0.046350909,Frozen Foods,1.57345878,6,Small,Tier 2,Supermarket Type1
10.2,LF,0.159936948,Frozen Foods,2.15598972,16,Small,Tier 1,Supermarket Type1
7.61,LF,0.129503146,Fruits and Vegetables,2.214899455,11,Small,Tier 2,Supermarket Type1
18.35,LF,0.089163056,Household,2.281829374,11,Small,Tier 2,Supermarket Type1
12.6,LF,0.026916794,Others,1.707285663,28,Medium,Tier 3,Supermarket Type3
10.6,LF,0.035264298,Health and Hygiene,1.935116124,11,Small,Tier 2,Supermarket Type1
10.2,Regular,0.017627888,Starchy Foods,2.37958432,9,Small,Tier 2,Supermarket Type1
12.6,LF,0.0194158,Breads,1.619567038,28,Small,Tier 1,Grocery Store
17.5,LF,0.015623754,Fruits and Vegetables,2.261564034,4,Medium,Tier 3,Supermarket Type2
15.5,Regular,0.15717236,Snack Foods,2.17359938,14,Medium,Tier 1,Supermarket Type1
20.7,Regular,0.047565208,Dairy,2.329372655,14,Medium,Tier 1,Supermarket Type1
12.85,LF,0.022604051,Fruits and Vegetables,2.258713409,16,Small,Tier 1,Supermarket Type1
20.85,Regular,0.056580228,Breads,2.023930335,11,Small,Tier 2,Supermarket Type1
12.35,LF,0.164196823,Household,2.081031735,14,Medium,Tier 1,Supermarket Type1
12.6,Regular,0.141975462,Snack Foods,1.695488681,28,Small,Tier 1,Grocery Store
8.78,LF,0,Dairy,1.66221746,26,High,Tier 3,Supermarket Type1
18.25,LF,0.089004389,Frozen Foods,2.293904146,11,Small,Tier 2,Supermarket Type1
15,LF,0.044871033,Health and Hygiene,2.147316994,26,High,Tier 3,Supermarket Type1
12.6,LF,0.13121032,Dairy,1.869439427,28,Small,Tier 1,Grocery Store
20.75,LF,0.149404057,Breakfast,2.285214689,15,Small,Tier 3,Grocery Store
9.8,LF,0.0268952,Meat,2.108571788,11,Small,Tier 2,Supermarket Type1
12.6,LF,0.059776237,Household,2.365046352,28,Medium,Tier 3,Supermarket Type3
18.1,LF,0.297883712,Dairy,2.195148808,15,Small,Tier 3,Grocery Store
8.6,LF,0.032754431,Health and Hygiene,2.147723924,4,Medium,Tier 3,Supermarket Type2
19,Regular,0.104035148,Fruits and Vegetables,2.357500335,6,Small,Tier 2,Supermarket Type1
12.6,Regular,0.062648111,Frozen Foods,2.020771348,26,High,Tier 3,Supermarket Type1
15.6,LF,0.111685868,Others,2.266684106,15,Small,Tier 3,Grocery Store
16.6,LF,0,Fruits and Vegetables,2.238983468,16,Small,Tier 1,Supermarket Type1
15.35,LF,0.015673267,Others,2.161508751,9,Small,Tier 2,Supermarket Type1
11.8,Regular,0.076705948,Snack Foods,1.541027289,9,Small,Tier 2,Supermarket Type1
14.1,LF,0.089677773,Canned,2.145661229,16,Small,Tier 1,Supermarket Type1
20.7,Regular,0.100330684,Fruits and Vegetables,2.091451691,14,Medium,Tier 1,Supermarket Type1
6.92,Regular,0.131128467,Breakfast,1.96932457,14,Medium,Tier 1,Supermarket Type1
8.68,LF,0.008871687,Frozen Foods,1.998862397,4,Medium,Tier 3,Supermarket Type2
15.35,LF,0.073269336,Soft Drinks,1.964316212,9,Small,Tier 2,Supermarket Type1
6.26,LF,0.031470832,Household,2.042271439,14,Medium,Tier 1,Supermarket Type1
17.1,LF,0.067141355,Household,2.059131559,9,Small,Tier 2,Supermarket Type1
18.75,LF,0.034501405,Household,2.325765578,6,Small,Tier 2,Supermarket Type1
5,LF,0.044004675,Soft Drinks,2.276123888,16,Small,Tier 1,Supermarket Type1
14.3,Regular,0.034404732,Baking Goods,1.991990293,9,Small,Tier 2,Supermarket Type1
12.6,LF,0.141106202,Starchy Foods,1.944073848,28,Medium,Tier 3,Supermarket Type3
12.3,Regular,0,Snack Foods,1.75858037,26,High,Tier 3,Supermarket Type1
7.44,LF,0.123086812,Starchy Foods,2.31589439,11,Small,Tier 2,Supermarket Type1
20.35,LF,0.039428167,Household,2.107100704,4,Medium,Tier 3,Supermarket Type2
18.5,LF,0.052025392,Snack Foods,2.073397184,26,High,Tier 3,Supermarket Type1
20.2,LF,0.074541867,Household,1.973802795,4,Medium,Tier 3,Supermarket Type2
5.66,LF,0.175352413,Soft Drinks,2.168527535,14,Medium,Tier 1,Supermarket Type1
12.8,LF,0.076060037,Fruits and Vegetables,1.978367712,16,Small,Tier 1,Supermarket Type1
13.3,LF,0.080131363,Dairy,2.369271533,4,Medium,Tier 3,Supermarket Type2
8.98,Regular,0.05268526,Canned,1.920761771,26,High,Tier 3,Supermarket Type1
7.67,LF,0.184689756,Household,1.549268174,26,High,Tier 3,Supermarket Type1
20,Regular,0.104245198,Canned,2.02268483,14,Medium,Tier 1,Supermarket Type1
5.75,Regular,0.075595405,Dairy,2.059630053,6,Small,Tier 2,Supermarket Type1
7.89,LF,0.036207786,Dairy,2.083065956,11,Small,Tier 2,Supermarket Type1
16.35,LF,0.034742632,Household,2.105176246,11,Small,Tier 2,Supermarket Type1
14.6,LF,0.059393919,Household,2.259588146,9,Small,Tier 2,Supermarket Type1
7.67,LF,0.185218446,Household,1.560164971,11,Small,Tier 2,Supermarket Type1
17.35,Regular,0.146895866,Seafood,2.174946108,4,Medium,Tier 3,Supermarket Type2
14.3,LF,0.026428924,Frozen Foods,1.893374441,4,Medium,Tier 3,Supermarket Type2
12.6,Regular,0.045243613,Dairy,2.16675623,28,Medium,Tier 3,Supermarket Type3
12.6,Regular,0.133673087,Canned,1.618550123,28,Medium,Tier 3,Supermarket Type3
12.6,LF,0.060252433,Dairy,2.232260489,28,Medium,Tier 3,Supermarket Type3
12.35,Regular,0.072541731,Dairy,1.68636095,11,Small,Tier 2,Supermarket Type1
8.4,LF,0.072088552,Hard Drinks,2.404327315,14,Medium,Tier 1,Supermarket Type1
12.6,LF,0.044391149,Canned,2.215860072,28,Medium,Tier 3,Supermarket Type3
20.25,Regular,0.022639471,Dairy,2.395167676,6,Small,Tier 2,Supermarket Type1
8.95,Regular,0,Dairy,2.42290322,6,Small,Tier 2,Supermarket Type1
16.75,Regular,0.008579863,Meat,1.859161123,14,Medium,Tier 1,Supermarket Type1
15,Regular,0.054367971,Canned,1.767826463,9,Small,Tier 2,Supermarket Type1
13.15,Regular,0.165328057,Fruits and Vegetables,2.232173474,9,Small,Tier 2,Supermarket Type1
12.6,Regular,0.013529884,Fruits and Vegetables,2.026368177,28,Medium,Tier 3,Supermarket Type3
6.28,LF,0.027699863,Soft Drinks,1.944086691,9,Small,Tier 2,Supermarket Type1
5.93,Regular,0.09646733,Dairy,1.631531025,16,Small,Tier 1,Supermarket Type1
18.85,LF,0.141642219,Canned,2.225601815,16,Small,Tier 1,Supermarket Type1
16.1,Regular,0.013584408,Fruits and Vegetables,2.032455971,26,High,Tier 3,Supermarket Type1
7.57,LF,0.054751689,Health and Hygiene,1.738725079,11,Small,Tier 2,Supermarket Type1
12.6,LF,0.014560297,Baking Goods,1.910757767,28,Medium,Tier 3,Supermarket Type3
5.46,Regular,0.03217132,Canned,2.266758365,9,Small,Tier 2,Supermarket Type1
11.8,LF,0.121848436,Fruits and Vegetables,1.670618741,11,Small,Tier 2,Supermarket Type1
19.25,LF,0.108470504,Household,1.524471419,4,Medium,Tier 3,Supermarket Type2
14.3,Regular,0.065207559,Fruits and Vegetables,1.953690122,16,Small,Tier 1,Supermarket Type1
19.1,LF,0.096733815,Fruits and Vegetables,2.367720724,16,Small,Tier 1,Supermarket Type1
16.25,LF,0.057485328,Fruits and Vegetables,2.101075185,14,Medium,Tier 1,Supermarket Type1
12.6,Regular,0.024776026,Baking Goods,2.236391633,28,Medium,Tier 3,Supermarket Type3
5.15,Regular,0.061165512,Meat,2.09912378,9,Small,Tier 2,Supermarket Type1
18.85,LF,0.091008572,Hard Drinks,2.112717582,14,Medium,Tier 1,Supermarket Type1
12.65,Regular,0.156286566,Fruits and Vegetables,2.378313941,14,Medium,Tier 1,Supermarket Type1
19.35,Regular,0.137697119,Baking Goods,1.673052256,15,Small,Tier 3,Grocery Store
12.6,LF,0.220225608,Fruits and Vegetables,1.932574209,28,Small,Tier 1,Grocery Store
13.65,LF,0.04929502,Fruits and Vegetables,2.177550928,14,Medium,Tier 1,Supermarket Type1
20.35,LF,0.054362695,Snack Foods,2.071685426,6,Small,Tier 2,Supermarket Type1
13.85,Regular,0.085274988,Meat,2.077776205,16,Small,Tier 1,Supermarket Type1
12.35,Regular,0.072334667,Dairy,1.691693142,26,High,Tier 3,Supermarket Type1
6.38,LF,0.032028115,Dairy,2.251235125,4,Medium,Tier 3,Supermarket Type2
13,Regular,0.070588037,Snack Foods,1.819204263,4,Medium,Tier 3,Supermarket Type2
8.9,Regular,0.088821765,Snack Foods,2.097510661,6,Small,Tier 2,Supermarket Type1
16.2,Regular,0.128682722,Frozen Foods,2.251484913,11,Small,Tier 2,Supermarket Type1
7.48,LF,0.013120028,Household,2.337697209,16,Small,Tier 1,Supermarket Type1
10.8,Regular,0.048339408,Baking Goods,1.618192489,4,Medium,Tier 3,Supermarket Type2
14.3,Regular,0.04975339,Meat,2.322960272,14,Medium,Tier 1,Supermarket Type1
12.6,LF,0.14453827,Canned,2.256718227,28,Small,Tier 1,Grocery Store
12.6,LF,0.172309903,Meat,1.992130062,28,Small,Tier 1,Grocery Store
12.6,Regular,0.05787008,Breakfast,1.696363379,28,Small,Tier 1,Grocery Store
11.5,LF,0.173516063,Fruits and Vegetables,2.10777012,16,Small,Tier 1,Supermarket Type1
19.7,LF,0.077899109,Baking Goods,2.2498487,9,Small,Tier 2,Supermarket Type1
10.9,LF,0.064621927,Fruits and Vegetables,2.293758875,26,High,Tier 3,Supermarket Type1
13.65,Regular,0.021343732,Snack Foods,1.766106353,15,Small,Tier 3,Grocery Store
12.6,Regular,0.061955439,Frozen Foods,2.161792505,28,Medium,Tier 3,Supermarket Type3
13.15,LF,0.024701262,Household,2.247650738,11,Small,Tier 2,Supermarket Type1
15.25,LF,0.02671821,Snack Foods,1.930540511,4,Medium,Tier 3,Supermarket Type2
12.6,LF,0.0514111,Breads,1.519247672,28,Medium,Tier 3,Supermarket Type3
9.5,LF,0,Fruits and Vegetables,2.043058755,6,Small,Tier 2,Supermarket Type1
11.65,LF,0.175033524,Dairy,1.744526109,6,Small,Tier 2,Supermarket Type1
12.35,LF,0.026676216,Canned,1.756062248,9,Small,Tier 2,Supermarket Type1
12.6,LF,0.029380407,Household,2.059620209,28,Medium,Tier 3,Supermarket Type3
7,LF,0.152261999,Canned,2.024190017,6,Small,Tier 2,Supermarket Type1
9.3,LF,0.174621343,Snack Foods,2.018269318,14,Medium,Tier 1,Supermarket Type1
14.7,LF,0.072410764,Fruits and Vegetables,1.683077672,14,Medium,Tier 1,Supermarket Type1
7.68,LF,0.118672537,Fruits and Vegetables,2.283789987,15,Small,Tier 3,Grocery Store
16,LF,0.090153756,Dairy,2.15598972,11,Small,Tier 2,Supermarket Type1
12.6,Regular,0.058446424,Baking Goods,2.235887349,28,Medium,Tier 3,Supermarket Type3
13.5,LF,0.054990009,Health and Hygiene,1.54761966,16,Small,Tier 1,Supermarket Type1
12.6,Regular,0.15528831,Fruits and Vegetables,2.383373309,28,Medium,Tier 3,Supermarket Type3
8.21,LF,0.010755465,Hard Drinks,2.17851422,26,High,Tier 3,Supermarket Type1
12.6,LF,0.039055756,Household,2.182804258,28,Medium,Tier 3,Supermarket Type3
9.5,Regular,0.104421237,Canned,1.904152707,26,High,Tier 3,Supermarket Type1
12.6,LF,0.034584356,Dairy,2.39510788,28,Medium,Tier 3,Supermarket Type3
11.65,LF,0.040144377,Snack Foods,2.359777446,6,Small,Tier 2,Supermarket Type1
10.85,LF,0.028738058,Household,2.068856459,11,Small,Tier 2,Supermarket Type1
12.15,LF,0.063430788,Meat,1.816125915,15,Small,Tier 3,Grocery Store
16.35,LF,0.029445361,Household,2.411054756,16,Small,Tier 1,Supermarket Type1
6.24,LF,0.118651919,Household,2.421589121,9,Small,Tier 2,Supermarket Type1
20.2,Regular,0.039215075,Breakfast,2.197729786,26,High,Tier 3,Supermarket Type1
14.1,LF,0.089859642,Canned,2.146901631,11,Small,Tier 2,Supermarket Type1
13.65,Regular,0.026643448,Meat,1.579248399,14,Medium,Tier 1,Supermarket Type1
12.6,LF,0.073879939,Household,1.973341252,28,Medium,Tier 3,Supermarket Type3
12.6,LF,0.077046505,Soft Drinks,2.277501487,28,Small,Tier 1,Grocery Store
9.2,Regular,0.064376263,Frozen Foods,1.919896724,6,Small,Tier 2,Supermarket Type1
15.6,Regular,0.04575559,Snack Foods,2.223010755,9,Small,Tier 2,Supermarket Type1
11.5,LF,0.014944614,Starchy Foods,2.235043382,6,Small,Tier 2,Supermarket Type1
13.15,LF,0.024646608,Household,2.249121523,9,Small,Tier 2,Supermarket Type1
8.05,Regular,0.078522357,Fruits and Vegetables,2.410211186,14,Medium,Tier 1,Supermarket Type1
20.75,LF,0.089260667,Breakfast,2.286563795,16,Small,Tier 1,Supermarket Type1
13.5,LF,0.05510153,Health and Hygiene,1.569226388,11,Small,Tier 2,Supermarket Type1
18,LF,0.047645037,Household,2.237146962,6,Small,Tier 2,Supermarket Type1
12.6,LF,0.122242847,Starchy Foods,2.317151613,28,Medium,Tier 3,Supermarket Type3
16,LF,0.076975118,Fruits and Vegetables,1.664722811,14,Medium,Tier 1,Supermarket Type1
12.6,Regular,0.098606543,Breakfast,2.36685237,28,Small,Tier 1,Grocery Store
12.6,LF,0.020614212,Fruits and Vegetables,2.101762879,28,Medium,Tier 3,Supermarket Type3
8.65,LF,0.143713508,Health and Hygiene,1.985161415,11,Small,Tier 2,Supermarket Type1
12.6,LF,0.099747488,Fruits and Vegetables,1.876407226,28,Medium,Tier 3,Supermarket Type3
12.6,LF,0,Fruits and Vegetables,2.385580179,28,Medium,Tier 3,Supermarket Type3
10.5,Regular,0.026520107,Baking Goods,2.160806951,6,Small,Tier 2,Supermarket Type1
20.75,Regular,0.083736551,Frozen Foods,2.252201829,14,Medium,Tier 1,Supermarket Type1
12.6,LF,0.012865901,Frozen Foods,1.773447066,28,Small,Tier 1,Grocery Store
6.13,LF,0.028365524,Household,2.041752606,14,Medium,Tier 1,Supermarket Type1
9.1,LF,0,Household,2.058622627,16,Small,Tier 1,Supermarket Type1
14.75,LF,0.089686322,Snack Foods,2.062024376,4,Medium,Tier 3,Supermarket Type2
19.2,LF,0.035185588,Snack Foods,2.258473973,16,Small,Tier 1,Supermarket Type1
12.6,LF,0.035574413,Fruits and Vegetables,2.118689221,28,Medium,Tier 3,Supermarket Type3
11.65,LF,0,Baking Goods,2.183561364,9,Small,Tier 2,Supermarket Type1
17.75,LF,0.03050705,Others,2.256154674,16,Small,Tier 1,Supermarket Type1
6.42,LF,0.053688479,Dairy,2.25115183,4,Medium,Tier 3,Supermarket Type2
10.6,LF,0.056911107,Dairy,2.369149409,11,Small,Tier 2,Supermarket Type1
17.7,Regular,0.016622448,Fruits and Vegetables,1.700733131,14,Medium,Tier 1,Supermarket Type1
8.24,LF,0.014482153,Health and Hygiene,2.260774757,14,Medium,Tier 1,Supermarket Type1
11.6,LF,0,Soft Drinks,2.151110483,11,Small,Tier 2,Supermarket Type1
17.2,Regular,0.025205909,Canned,2.17359938,14,Medium,Tier 1,Supermarket Type1
19.6,LF,0.039544237,Snack Foods,2.213922909,26,High,Tier 3,Supermarket Type1
8.02,LF,0.111613921,Snack Foods,2.183838468,14,Medium,Tier 1,Supermarket Type1
13.8,LF,0.097043739,Dairy,1.759614971,9,Small,Tier 2,Supermarket Type1
12.6,Regular,0.214139786,Fruits and Vegetables,2.010306742,28,Small,Tier 1,Grocery Store
10,LF,0.021468792,Household,2.400840077,11,Small,Tier 2,Supermarket Type1
11.6,LF,0.040911824,Soft Drinks,2.153251898,26,High,Tier 3,Supermarket Type1
9.3,LF,0.044843161,Household,2.39125312,4,Medium,Tier 3,Supermarket Type2
8.26,Regular,0.032435437,Soft Drinks,2.096468546,9,Small,Tier 2,Supermarket Type1
10.9,LF,0.020994339,Health and Hygiene,2.407675015,11,Small,Tier 2,Supermarket Type1
15.5,Regular,0.02536567,Baking Goods,1.917995718,9,Small,Tier 2,Supermarket Type1
12.1,LF,0.011604894,Dairy,2.22024568,6,Small,Tier 2,Supermarket Type1
16,LF,0.041028937,Snack Foods,2.154270558,11,Small,Tier 2,Supermarket Type1
9.3,LF,0.042930789,Fruits and Vegetables,1.947027668,26,High,Tier 3,Supermarket Type1
12.6,LF,0.046994717,Meat,2.099687546,28,Small,Tier 1,Grocery Store
17.35,LF,0.014689006,Frozen Foods,1.872178424,9,Small,Tier 2,Supermarket Type1
19.7,LF,0.064921764,Canned,1.945073503,16,Small,Tier 1,Supermarket Type1
19.35,LF,0.033060937,Meat,2.236723132,26,High,Tier 3,Supermarket Type1
12.85,LF,0.033172957,Snack Foods,2.235634987,9,Small,Tier 2,Supermarket Type1
18.85,LF,0.141524348,Canned,2.226376128,26,High,Tier 3,Supermarket Type1
11.65,LF,0.039980644,Snack Foods,2.356732016,14,Medium,Tier 1,Supermarket Type1
10.9,Regular,0.009636821,Dairy,2.085907502,14,Medium,Tier 1,Supermarket Type1
17.6,Regular,0.039189221,Snack Foods,1.988295804,26,High,Tier 3,Supermarket Type1
9.7,Regular,0.129008866,Baking Goods,2.355911816,6,Small,Tier 2,Supermarket Type1
13.85,LF,0.030795085,Soft Drinks,2.15629286,16,Small,Tier 1,Supermarket Type1
12.15,Regular,0.13283066,Fruits and Vegetables,2.280321542,6,Small,Tier 2,Supermarket Type1
11.8,LF,0.008559557,Health and Hygiene,2.069109888,9,Small,Tier 2,Supermarket Type1
14.35,LF,0.017038777,Health and Hygiene,2.051240531,16,Small,Tier 1,Supermarket Type1
20,LF,0.0814536,Others,1.566071989,14,Medium,Tier 1,Supermarket Type1
17.75,LF,0.07607772,Baking Goods,2.050976453,14,Medium,Tier 1,Supermarket Type1
6.13,LF,0.076891526,Dairy,1.789253458,11,Small,Tier 2,Supermarket Type1
20.25,Regular,0.014793357,Dairy,2.282205516,16,Small,Tier 1,Supermarket Type1
19.85,Regular,0.020858779,Snack Foods,1.798093784,26,High,Tier 3,Supermarket Type1
7.41,LF,0,Dairy,2.313296782,6,Small,Tier 2,Supermarket Type1
15.7,Regular,0.03079807,Snack Foods,2.403073141,6,Small,Tier 2,Supermarket Type1
20.1,LF,0.077389797,Health and Hygiene,1.784286275,26,High,Tier 3,Supermarket Type1
12.6,Regular,0.136592891,Meat,2.376622209,28,Small,Tier 1,Grocery Store
9.8,Regular,0.072863893,Snack Foods,2.074120574,9,Small,Tier 2,Supermarket Type1
12.6,LF,0.244102315,Snack Foods,2.170484674,28,Small,Tier 1,Grocery Store
20.35,LF,0.141789197,Snack Foods,2.086029356,9,Small,Tier 2,Supermarket Type1
12.6,LF,0.035414528,Breads,2.338887785,28,Medium,Tier 3,Supermarket Type3
6.85,LF,0.022864238,Frozen Foods,2.415072556,26,High,Tier 3,Supermarket Type1
20.35,LF,0.054011943,Snack Foods,2.066499608,26,High,Tier 3,Supermarket Type1
6.39,Regular,0.123961415,Snack Foods,1.522279875,11,Small,Tier 2,Supermarket Type1
20.5,LF,0.060847634,Frozen Foods,1.875464102,15,Small,Tier 3,Grocery Store
12.6,LF,0,Fruits and Vegetables,2.403181627,28,Medium,Tier 3,Supermarket Type3
8.42,Regular,0.030890618,Canned,2.359333003,14,Medium,Tier 1,Supermarket Type1
19.75,LF,0.033883448,Snack Foods,2.328970901,9,Small,Tier 2,Supermarket Type1
17.85,LF,0.052166995,Snack Foods,2.085316271,9,Small,Tier 2,Supermarket Type1
15,Regular,0.161301097,Canned,2.267468825,26,High,Tier 3,Supermarket Type1
13.8,Regular,0.064307102,Fruits and Vegetables,1.888186236,14,Medium,Tier 1,Supermarket Type1
18.7,Regular,0.071091591,Frozen Foods,2.359078126,6,Small,Tier 2,Supermarket Type1
5.79,Regular,0.0901292,Fruits and Vegetables,1.953690122,15,Small,Tier 3,Grocery Store
10.1,Regular,0,Fruits and Vegetables,2.352392473,26,High,Tier 3,Supermarket Type1
16.75,LF,0.032580547,Health and Hygiene,2.283563988,9,Small,Tier 2,Supermarket Type1
7.42,LF,0.020391845,Snack Foods,2.396040949,16,Small,Tier 1,Supermarket Type1
13.15,LF,0.036879539,Frozen Foods,2.258631537,6,Small,Tier 2,Supermarket Type1
10.9,LF,0.137023446,Dairy,2.421203665,14,Medium,Tier 1,Supermarket Type1
20.7,Regular,0.122208091,Frozen Foods,2.078263191,6,Small,Tier 2,Supermarket Type1
12.6,LF,0.063800266,Health and Hygiene,2.090051264,28,Medium,Tier 3,Supermarket Type3
17.35,Regular,0.063207198,Baking Goods,1.951254927,6,Small,Tier 2,Supermarket Type1
17.7,LF,0.011660463,Frozen Foods,1.984711793,4,Medium,Tier 3,Supermarket Type2
16.5,LF,0.028579565,Snack Foods,1.955757963,6,Small,Tier 2,Supermarket Type1
9.6,LF,0.011211251,Household,2.222504213,15,Small,Tier 3,Grocery Store
6.06,LF,0.031103357,Fruits and Vegetables,2.204005422,16,Small,Tier 1,Supermarket Type1
6.87,Regular,0.036042939,Frozen Foods,2.388187554,6,Small,Tier 2,Supermarket Type1
6.06,LF,0.031230059,Fruits and Vegetables,2.205090089,4,Medium,Tier 3,Supermarket Type2
12.6,Regular,0.22417463,Snack Foods,2.227582335,28,Small,Tier 1,Grocery Store
15.7,Regular,0.030672457,Snack Foods,2.403416359,14,Medium,Tier 1,Supermarket Type1
9.2,Regular,0.077995641,Meat,2.030031084,26,High,Tier 3,Supermarket Type1
13.85,Regular,0.056432784,Breakfast,2.370938479,11,Small,Tier 2,Supermarket Type1
